,newid,region,fam_type,earncomp,bls_urbn,cutenure,age_ref,sex_ref,marital1,educ_ref,inclass,kids,inc,inc.a,food,house,transport,utili,health,enter
3379,3080452,1,2,2,1,1,40,2,1,12,8,1,53370,58000,2080,6070.6668,2456,2104,3280,400
3380,3055413,1,3,2,2,1,51,2,1,15,9,1,101137,115000,6066.6668,11676,4488,4288,2154.6672,2836
3382,2797235,3,7,1,1,4,39,2,3,15,8,1,47581,52800,3120,15256,5996,4996,7701.3328,960
3383,3083201,4,3,2,1,4,39,1,1,11,1,1,2354,2354,1213.3332,2644,2725.3332,392,2992,240
3384,2870234,1,3,2,1,1,53,1,1,16,9,1,123266.8,146602.8,5893.3332,9838.6668,5357.3332,2280,3680,1592
3387,2806995,4,2,2,1,1,31,2,1,13,9,1,109619.8,127133.8,1733.3332,9997.3332,1612,1276,6400,880
3390,2876644,2,3,2,1,1,54,1,1,15,9,1,100554.2,119059.2,3293.3332,3721.3332,8040,1612,5200,296
3394,3072831,1,3,2,1,1,45,2,1,16,9,1,68810,77000,2173.3332,4724,2436,1856,16250.6672,2320
3397,2800595,1,3,2,1,4,33,1,1,15,9,1,64309,70500,2773.3332,23117.3332,12620,3308,1088,380
3402,2999292,4,2,1,1,4,36,1,1,13,9,1,65501,72000,17160,18302.6668,9552,2276,19168,224
3412,2997602,4,3,2,1,4,43,1,1,13,9,1,94823,115000,8173.3332,18028,3980,3080,23893.3328,832
3413,2933323,4,3,2,1,1,50,2,1,14,9,1,76760,86268,1733.3332,6718.6668,9720,2316,3466.6672,264
3418,2996802,4,3,2,1,4,40,1,1,12,6,1,31615.4,30138.4,872,15164,3402.6668,1064,8960,544
3429,3071234,3,5,1,1,1,58,1,1,13,9,1,82341,88383,2238.6668,4336,800,992,2094.4,480
3441,2955413,3,9,1,1,4,34,1,5,12,6,1,34830,30000,1040,3908,1360,1004,7626.6672,316
3447,2873454,4,5,2,1,2,41,2,1,16,9,1,127601.4,155637.4,7072,3073.3332,7664,1540,12110.4,2688
3459,2797935,4,4,1,1,4,49,1,1,15,8,1,60991,64000,7106.6668,16340,7836,5420,26048,960
3462,2811655,4,5,2,1,1,40,1,1,14,9,1,121934,140668,6066.6668,16360,18756,2112,8000,2520
3467,3072182,3,7,1,1,2,50,2,3,15,9,1,68117,72000,2800,2138.6668,464,1772,5468.8,1080
3473,2871204,1,4,2,1,1,51,2,1,15,9,1,87504.8,95318.8,2540,10237.3332,4536,1701.3332,13866.6672,440
3483,3060851,3,3,2,1,1,45,2,1,15,9,1,86412.4,93900.4,8653.3332,9602.6668,3388,3440,6720,3720
3484,3075121,3,3,2,1,1,31,2,1,15,8,1,63942.4,66197.4,2773.3332,3015.3332,800,1352,4544,360
3489,2867824,1,3,2,1,1,34,1,1,11,9,1,108544.6,125164.6,5026.6668,13860,1372,2680,4800,8360
3491,2807605,1,2,2,1,1,38,1,1,16,9,1,212364.6,269070.6,4680,19252,4260,2040,10853.3328,4844
3492,3065431,3,3,2,1,1,41,1,1,15,9,1,96193.8,103622.8,6986.6668,10528,3652,2428,9013.3328,9764
3497,2953223,3,2,1,1,1,35,1,1,16,9,1,104931,115000,5913.3332,13080,2216,1880,22400,1760
3500,3069833,3,3,1,1,4,38,1,1,12,8,1,55450,60000,3346.6668,6828,9969.3332,2256,5024,4780
3502,3009732,3,3,2,1,1,44,1,1,15,9,1,83575,90000,2080,3785.3332,292,1700,15600,800
3503,2836944,1,3,2,1,4,34,2,1,12,9,1,66437,72478,11786.6668,21304,9720,2384,20800,560
3506,2809575,3,3,1,1,1,29,2,1,15,7,1,46026,45000,10746.6668,5246.6668,1844,1384,2565.3328,36
3508,3064374,3,3,2,1,1,45,1,1,15,9,1,117377,142000,6426.6668,17308,3600,3928,15936,2272
3512,3059472,3,3,2,1,2,35,1,1,15,9,1,87367.6,101459.6,6634.6668,16889.3332,1720,1880,10400,496
3518,2997782,2,3,2,1,1,34,1,1,12,9,1,104277,120000,6933.3332,26837.3332,4020,3520,20373.3328,2400
3529,2993952,3,2,2,1,1,34,1,1,16,9,1,106519.6,118987.6,7696,39200,2520,3840,560,2232
3531,2994322,3,2,2,1,1,32,1,1,16,9,1,101375.6,112517.6,6586.6668,23121.3332,5804,3744,16640,2488
3532,2872404,1,3,2,1,1,45,2,1,15,9,1,121472.2,143064.2,8925.3332,13432.6668,7198.6668,2472,21157.3328,1364
3533,2811165,1,2,1,1,1,31,1,1,15,9,1,86379.4,96795.4,2940,4684,8337.3332,2680,7626.6672,692
3534,3088263,3,2,2,1,1,33,2,1,15,9,1,101502,118100,4226.6668,9953.3332,1498.6668,1500,7072,1484
3536,3003752,4,2,2,1,1,27,1,1,13,9,1,91945,102000,3466.6668,6177.3332,5356,1396,2368,2864
3537,3074143,3,3,2,1,1,41,1,1,12,9,1,109161.6,125040.6,5520,5220,1532,2120,12133.3328,424
3541,2872344,4,3,2,1,1,46,2,1,16,9,1,113667,130000,7193.3332,22752,5265.3332,1616,1360,4372
3548,2867804,2,9,1,1,4,32,1,5,10,5,1,31924,25920,2773.3332,4080,400,1348,1578.6672,660
3550,2873704,3,3,2,1,1,40,2,1,15,9,1,126074.4,155301.4,4073.3332,6698.6668,2640,2256,5962.6672,1920
3553,3001702,3,3,2,1,1,43,2,1,15,9,1,80952,90000,6066.6668,2006.6668,2392,1400,17333.3328,2940
3555,3007592,2,3,2,1,1,38,2,1,15,9,1,139714,170000,3860,14108,4640,1172,13445.3328,2180
3557,2948533,2,3,2,1,1,43,2,1,14,9,1,143784.4,177059.4,5113.3332,10133.3332,1012,1824,10421.3328,1612
3558,3064211,3,3,1,1,2,36,2,1,13,6,1,37464,31017,4288,3466.6668,3030.6668,1208,17920,1400
3561,3007742,4,3,2,1,1,45,1,1,15,9,1,112594.4,128374.4,4046.6668,13497.3332,644,2064,224,3976
