region,fam_type,earncomp,bls_urbn,cutenure,age_ref,sex_ref,marital1,educ_ref,inclass,kids,inc,food,house,transport,utili,health,enter
3,1,2,1,2,62,1,1,13,9,0,99651,14200,5253.3332,5928,3184,22677.3328,824
4,1,2,1,4,59,2,1,15,9,0,139313,2600,8488,5676,900,14213.3328,256
3,1,1,1,1,60,2,1,13,5,0,23942,3466.6668,6890.6668,3800,2120,9746.1328,680
2,1,2,1,1,33,2,1,15,9,0,74311,1906.6668,7377.3332,2968,1680,8320,1512
1,1,2,1,2,54,1,1,12,9,0,101299.2,6586.6668,10800,5420,5960,12160,1360
3,9,1,1,2,41,1,5,14,5,0,21799,1906.6668,440,800,268,2718.4,240
3,1,2,1,1,62,2,1,12,8,0,49499,2600,8664,600,3152,15360,220
3,1,2,1,2,52,1,1,14,9,0,97589,572,2502,1676,861.3332,10048,100
3,1,1,1,1,60,2,1,13,8,0,53468,3813.3332,3342.6668,9256,2680,3836.8,880
4,1,2,1,1,45,2,1,12,9,0,87386,3293.3332,6588,1160,1840,5253.3328,3896
2,1,2,1,2,62,1,1,13,9,0,87908.8,2594.6668,3870.6668,1676,2568,6768,1208
3,9,1,2,2,54,2,3,14,8,0,47919.6,2253.3332,7628,2913.3332,3764,18076.8,760
2,1,2,1,1,59,1,1,12,9,0,103198,7626.6668,9104,157104,3532,960,1904
2,1,2,1,1,61,1,1,13,9,0,72291.6,4333.3332,6937.3332,1636,1492,8426.6672,784
4,1,2,1,4,60,1,1,12,9,0,63598,2652,5848,2904,832,25594.6672,232
3,1,1,1,4,58,1,1,12,9,0,74876,6453.3332,11756,2444,2924,17888,1548
1,1,1,1,2,56,2,1,15,9,0,102424.2,7973.3332,23364,1872,4384,40604.8,5044
2,1,2,1,2,31,2,1,16,9,0,94665,2600,3361.3332,3040,1808,3248,2348
2,1,2,1,1,53,2,1,16,9,0,118535,5672,22265.3332,17088,4928,18000,3348
2,9,1,1,2,56,1,5,16,9,0,76869.8,2808,2000,600,1072,2581.3328,2036
2,1,2,1,1,60,2,1,12,9,0,77226.8,4626.6668,8485.3332,15278.6668,3712,10560,204
2,1,2,1,1,46,1,1,12,8,0,53123,6240,9376,1992,3640,20629.3328,1080
4,1,1,1,4,36,1,1,16,9,0,75395,2133.3332,5526.6668,1250.6668,1266.6668,14944,64
3,1,1,1,1,57,2,1,15,8,0,52091.2,4160,18092,6033.3332,2440,64000,1520
3,1,2,1,1,42,1,1,13,9,0,74186,2045.3332,10901.3332,800,2120,70901.3328,632
3,1,2,1,2,62,2,1,13,9,0,71333,6240,37841.3332,3356,2588,16800,9392
4,1,2,1,2,58,1,1,15,9,0,100040.6,5200,8690.6668,3300,1380,6933.3328,200
4,1,2,1,1,38,1,1,12,8,0,61906.4,5920,14162.6668,1440,3384,15253.3328,2072
3,1,2,1,2,58,1,1,12,8,0,46907,2080,2168,1380,1808,10000,512
3,1,1,2,1,56,1,1,13,5,0,23138,4333.3332,6190.6668,3160,2668,5120,784
3,1,1,1,4,28,1,1,12,7,0,41079,7706.6668,9496,16814.6668,3896,21568,4768
3,9,1,1,2,61,2,3,10,8,0,48231.4,1622.6668,2254.6668,960,1488,5081.0672,544
2,1,1,1,1,54,1,1,16,9,0,115297,1906.6668,10852,326.6668,2132,22862.4,1788
4,1,2,1,1,30,1,1,12,8,0,56543,2946.6668,1848,64206.6668,848,3813.3328,172
3,1,2,1,1,48,1,1,14,9,0,124957.6,6341.3332,21062.6668,11884,1600,21456,2176
3,1,2,2,2,55,2,1,12,7,0,46058.6,2773.3332,3306.6668,3504,1488,15282.1328,1000
4,1,1,1,1,51,2,1,13,4,0,15639,1040,8004,320,2272,1040,312
1,1,1,1,2,60,2,1,16,8,0,45106.6,3584,3889.3332,1800,1700,5436.8,2720
2,1,2,1,1,51,2,1,15,9,0,85211,3026.6668,2724,2504,1104,3952,644
2,1,2,1,2,39,1,1,14,9,0,91711,2946.6668,5237.3332,3276,4256,10400,632
4,1,2,1,2,62,2,1,13,8,0,46454,3466.6668,5612,3064,4292,9792,1048
4,9,1,1,1,53,2,3,15,5,0,26339,1126.6668,2262.6668,504,832,496,372
2,1,2,1,1,58,1,1,15,9,0,63760.4,2520,3798.6668,942.6668,1088,7973.3328,560
3,1,1,1,2,54,1,1,12,9,0,72614.6,2253.3332,2540,420,1800,4000,280
3,1,2,1,2,58,1,1,15,9,0,96098,2652,2158.6668,1524,1112,17481.0672,1084
4,1,2,1,4,36,2,1,11,9,0,121524,2773.3332,15244,5436,1524,13866.6672,1320
4,1,1,2,1,62,1,1,12,5,0,20000,1040,7184,400,1044,2912,724
3,1,1,1,2,63,1,1,12,8,0,58421,3304,2528,433.3332,820,7550.4,2100
3,1,2,1,1,51,1,1,15,9,0,126015,9533.3332,10848,6008,3604,4096,432
2,1,2,2,1,53,1,1,15,9,0,116129.6,2253.3332,9966.6668,1600,2192,1664,1292
3,1,2,1,1,59,1,1,16,9,0,117055,3900,12462.6668,1028,2864,3728,1200
3,1,2,1,1,44,1,1,12,9,0,88272.6,5200,10086.6668,3450.6668,2960,7626.6672,2600
1,9,1,1,1,58,2,3,12,5,0,25927.6,2340,4589.3332,1896,2208,1760,952
3,1,2,1,2,60,2,1,12,9,0,51999,1022.6668,1188.6668,2333.3332,992,1568,244
3,1,1,1,1,64,1,1,12,8,0,64495.2,2513.3332,4528,896,1624,7200,836
4,1,2,1,1,64,1,1,13,9,0,130580,5522.6668,32009.3332,8570.6668,6004,16992,10616
3,1,2,1,1,27,1,1,15,9,0,82500,4333.3332,10741.3332,2536,2000,4400,536
1,1,2,1,1,37,2,1,16,9,0,123338,5321.3332,14562.6668,2064,3096,6933.3328,2460
2,9,1,1,2,48,2,3,14,6,0,31787.6,1820,4346.6668,826.6668,1640,4122.6672,240
1,1,2,1,4,47,2,1,15,9,0,106532,433.3332,6112,360,420,4000,344
3,1,2,1,1,30,1,1,15,8,0,48439,3986.6668,16069.3332,1592,2400,23658.6672,2356
3,1,2,1,2,62,1,1,13,9,0,216589,10400,4928,1600,1760,11200,480
3,1,1,1,2,64,1,1,15,9,0,88148,5373.3332,11424,2584,3468,11936,3172
2,1,2,1,1,63,1,1,14,4,0,18397,1906.6668,3597.3332,844,1960,8432,320
3,1,2,1,1,49,1,1,13,9,0,115703,7800,12634.6668,1066.6668,2680,5760,1760
2,1,2,2,2,63,2,1,15,6,0,37597.6,4826.6668,11756,2416,1312,7328,396
3,1,2,1,2,55,2,1,15,9,0,108675.8,3120,9158.6668,1104,2512,3600,2812
2,1,2,1,4,37,1,1,15,9,0,87585.4,2600,6512,1233.3332,1840,5557.3328,1656
2,1,2,2,2,60,2,1,12,8,0,59499,624,2685.3332,304,1012,13760,472
3,1,2,1,2,55,2,1,13,9,0,62360,3640,5732,2124,3400,10624,1544
3,1,2,1,1,53,2,1,15,8,0,57037.8,1906.6668,5309.3332,3612,3852,8880,632
3,1,2,1,2,54,2,1,14,9,0,68498.4,11960,4469.3332,1456,2104,5738.6672,1208
1,1,2,1,2,53,2,1,12,7,0,39603.2,3293.3332,4333.3332,620,2840,6933.3328,320
4,1,1,1,1,63,2,1,13,9,0,84918,2946.6668,15181.3332,5008,3280,74.6672,3514.6668
4,1,2,1,1,45,1,1,13,9,0,63572,6240,10277.3332,1988,3632,61888,3080
3,1,2,1,1,56,1,1,15,9,0,238380.4,22320,35210.6668,3116,3956,5664,1524
4,1,2,1,4,33,2,1,14,9,0,86598,9813.3332,17120,3436,2168,9434.6672,4028
2,1,2,1,1,56,1,1,12,8,0,59225,3466.6668,11408,4000,3304,20000,872
4,1,2,1,1,63,1,1,14,9,0,75599,5994.6668,10261.3332,5086.6668,3152,9536,676
2,1,2,1,1,60,1,1,16,9,0,169747.8,3626.6668,30618,12506.6668,3780,56000,6944
3,1,2,1,2,56,2,1,14,9,0,127965,3120,16078.6668,1280,2840,29930.6672,940
3,1,2,1,1,50,1,1,13,8,0,65723,2166.6668,4786.6668,748,1756,33136,5832
3,1,2,1,4,28,2,1,15,8,0,48620.2,1126.6668,2933.3332,2160,400,720,32
4,1,1,1,2,61,1,1,16,9,0,88179,3746.6668,1624,18432,1032,5520,80
3,1,2,1,4,27,2,1,16,8,0,56582,4373.3332,4260,860,612,4320,2264
2,1,2,1,2,59,1,1,15,7,0,40357.8,4472,5758.6668,5580,3308,43034.6672,1224
3,1,2,1,1,51,1,1,15,9,0,122413,4680,8829.3332,6136,5144,18304,1832
1,1,2,1,2,49,2,1,12,9,0,80056,1733.3332,6328,1680,2004,480,252
2,1,2,1,1,42,2,1,13,9,0,145390.6,6066.6668,11932,7168,4140,4160,2436
3,1,1,1,4,28,1,1,15,9,0,75246,3773.3332,5126.6668,885.3332,520,1728,240
1,1,2,1,4,31,1,1,16,9,0,95071.4,21093.3332,13820,9678.6668,2304,15200,4968
4,1,2,1,1,44,2,1,12,8,0,62085,2080,5346.6668,2104,1036,2560,744
4,1,2,1,1,39,2,1,16,9,0,93028,3481.3332,7028,1613.3332,1044,1792,228
3,9,1,1,4,47,1,5,13,6,0,40220,1213.3332,2932,660,1200,1678.4,440
2,1,1,1,2,64,2,1,16,9,0,81046,2340,3500,533.3332,1552,6640,3992
3,1,2,1,1,47,1,1,14,5,0,25901.6,2520,2170.6668,80,700,1248,140
1,1,2,1,1,51,1,1,16,9,0,102125,2340,10049.3332,2120,1940,5066.6672,308
3,1,2,1,4,38,2,1,13,9,0,92306,4853.3332,10152,4316,1912,11520,880
4,1,2,1,4,51,2,1,11,5,0,28166,1300,5156,361.3332,748,240,496
3,1,1,1,1,49,2,1,12,7,0,41343.8,1386.6668,21856,760,1164,912,588
3,1,2,2,2,34,1,1,13,8,0,44198,2600,3426.6668,4978.6668,3040,6400,600
1,1,2,1,2,53,1,1,13,9,0,74702.4,1733.3332,1469.3332,484,616,2400,220
1,1,2,1,1,48,1,1,15,9,0,114610.4,2686.6668,8444,1729.3332,2356,4197.3328,1008
3,1,1,1,2,58,1,1,12,9,0,89158,7072,4841.3332,5445.3332,3040,8960,2144
3,1,2,1,1,58,2,1,13,9,0,121929,1040,5800,653.3332,2736,640,640
1,1,2,1,2,62,2,1,11,9,0,70390,3120,4842.6668,3428,3580,9927.4672,2344
2,1,2,2,1,50,2,1,14,9,0,81772.2,5857.3332,6617.3332,5780,2920,5120,1912
3,1,2,1,4,54,1,1,15,5,0,21827,3501.3332,7464,2780,2240,11861.3328,756
3,1,2,1,2,51,2,1,12,7,0,42269,5800,4428,12049.3332,2220,6378.6672,568
4,1,2,1,1,45,2,1,14,9,0,127411,4160,8285.3332,1564,1300,58048,1888
3,1,2,1,1,28,1,1,13,8,0,48897,2065.3332,5560,3792,1232,480,472
3,9,1,1,2,34,1,1,12,9,0,67303.4,13693.3332,1776,7940,1344,3356.8,768
4,1,1,1,4,58,2,1,12,6,0,33948,346.6668,5640,400,440,3342.4,32
2,1,2,1,2,62,1,1,12,8,0,48375,2166.6668,3785.3332,1100,2052,4085.3328,800
2,9,1,1,4,48,1,3,14,8,0,44465,2874.6668,6016,1930.6668,736,6794.6672,1552
1,1,2,1,4,34,2,1,12,8,0,57976,2600,3560,726.6668,1340,8650.6672,600
4,1,2,1,1,45,2,1,13,9,0,103689,6760,16400,1752,4324,10848,808
3,1,2,1,1,38,1,1,15,9,0,170490,6600,14013.3332,8210.6668,2652,13045.3328,2908
4,9,1,1,1,60,1,5,16,8,0,49570,866.6668,4217.3332,173.3332,1816,8903.4672,104
2,1,2,1,1,54,2,1,10,9,0,156765,2946.6668,16381.3332,3300,3664,8320,664
4,1,2,1,2,62,1,1,13,9,0,191085.6,6633.3332,18941.3332,2314.6668,2980,20030.4,1496
1,1,2,1,4,36,2,1,13,9,0,66172,5546.6668,13064,3088,2280,41600,1376
3,1,2,1,4,58,2,1,15,5,0,26361,4853.3332,7280,1932,1240,5920,776
3,1,2,1,1,32,2,1,15,9,0,112574,6141.3332,24170,254400,2880,800,4696
1,1,2,2,1,51,1,1,15,9,0,72418,3380,5496,1041.3332,940,3258.6672,60
3,1,2,1,1,61,2,1,15,9,0,74967.8,1906.6668,15701.6668,1889.3332,1988,3248,332
2,9,1,1,1,56,1,3,12,8,0,43984,1733.3332,4613.3332,2388,1040,2010.6672,432
3,9,1,1,1,45,1,5,13,8,0,48614.8,8320,5721.3332,2080,1928,10450.1328,616
2,1,2,1,1,35,2,1,15,9,0,164958,5893.3332,5690.6668,4153.3332,1408,15498.6672,340
3,9,1,1,1,49,2,3,16,7,0,37464,1560,5630.6668,500,836,10272,592
3,1,2,1,1,53,2,1,13,9,0,80935.6,2472,11813.3332,6980,3200,9504,472
3,1,2,1,2,56,1,1,15,9,0,67102,6933.3332,13638.6668,4736,1616,12224,940
4,4,1,1,4,48,2,1,12,6,0,32266,1958.6668,5404,2000,824,4800,348
2,4,2,1,1,46,2,1,13,9,0,95553,5754.6668,8541.3332,6400,3076,18240,4984
4,4,1,1,4,58,1,1,15,6,0,35955,5200,28214.6668,5600,2126.6668,384,560
3,4,2,1,2,56,1,1,13,9,0,81439.2,6933.3332,8412,4920,3648,15360,2364
4,4,2,1,1,47,1,1,13,9,0,149106,7973.3332,23314.6668,4485.3332,7440,11824,1536
3,4,2,1,1,48,2,1,13,9,0,101412,2426.6668,9582.6668,1276,1964,11200,712
